培训机构名称,所属区,联系地址,联系电话,办学质量和诚信等级,机构ID,项目数量
上海青浦区怡学职业培训学校,青浦,上海市青浦区赵巷镇崧雅路86弄5号-2,18616873099,B级,201703240984171,3
上海闵行区嘉东职业技能培训学校,闵行,上海市闵行区光中路255号2号楼2-401,18221103692,C级,201704111016061,15
上海浦东智慧消防安全职业技能培训中心,浦东,浦东新区三林路88弄1号楼B栋4楼东区,18964832225,B级,201705021070761,1
上海蜚腾职业技能培训有限公司,浦东,上海市浦东新区沪南公路8666弄14幢1楼,15256623710,,201705151115051,2
上海德梁安全培训中心,闵行,闵行区梅强路255号3幢525室,54290609、13361812920,B级,201706161207541,3
上海宝宏职业培训学校,宝山,上海市宝山区盘古路727号3幢9号,13402104534,B级,201706261233031,8
上海松江区慧修职业技能培训中心,松江,松江区三新北路900弄905号2楼,13761638933,C级,201707121270261,7
上海理想职业技能培训学校,虹口,上海市虹口区东体育会路860号5号楼508室,18918550600,,201707191295711,4
上海静安区中焙职业培训学校,静安,上海市静安区康宁路1021弄2号楼137室,56356787,C级,201709251481401,7
上海德弘养老护理技术培训学校,奉贤,上海市奉贤区南桥镇万众路368号C栋202室,15601806868,C级,201710241547251,2
上海市公共安全技能培训学校,杨浦,上海市杨浦区国顺路288号,021-65680256、25653107,A级,201711131561731,55
上海浦东新区育源职业技能培训学校,浦东,浦东新区成山路1700号,18616357357,B级,201711241635171,25
上海浦东迪吉健康职业技能培训中心,浦东,上海市浦东新区基隆路89号501室,16601880280,C级,201712261713891,3
上海睿群职业培训学校,宝山,上海市宝山区长江南路180号长江软件园B区1层131、132,13818280637,A级,201807182290691,46
上海臻致培训学校有限公司,普陀,上海市普陀区中山北路3331号底层-1、-2，杏山路8弄4号2楼,13901789466,C级,201808152380391,9
上海聚嘉培训学校有限公司,嘉定,上海市嘉定区叶城路565号303、311、312室,15221757364,A级,201810192591581,61
上海奚仲职业技能培训有限公司,浦东,上海市浦东新区金沪路1270号1幢4楼401-411室,13661453399,A级,201812052740461,9
上海浦东新区师源职业技术培训中心,浦东,上海市浦东新区秋兴路875号1幢407室、2幢2015室,13482860303,B级,201812052740621,5
上海静安能企电力职业技能培训中心,静安,上海市静安区永和路118弄58号201室,36350039,A级,201812112781461,3
上海志达职业技能培训有限公司,普陀,上海普陀区白兰路137弄2号1501、1502、1512室,15221757364,,201812112785781,3
上海青浦区惠茵职业技能培训学校,青浦,上海市青浦区清河湾路1635弄5号1层、6号3层,18001772522,A级,201901092913781,35
上海金山区卫夷职业技能培训中心,金山,上海市金山区卫清西路576号4楼,13621988162,B级,201901142940191,5
上海家策培训中心有限公司,徐汇,上海市徐汇区中山西路2368号1901，1902室,13636403116,C级,201902153023671,9
上海青浦区时光蜕变职业技能培训学校,青浦,上海青浦区淀山湖大道1079弄11、93号225-226号,13611710910,B级,201902153025401,13
上海林通职业技能培训学校,虹口,上海市虹口区甘河路8号203室、206室,13817818105,,201903123122611,28
上海糖师师培训学校有限公司,宝山,上海市宝山区一二八纪念路728弄58号四层401、402室,36036603,B级,201904093212551,6
上海巾帼汇职业技能培训有限公司,普陀,上海市普陀区武宁路509号D0601、Ｄ0602、Ｄ0604、D0605室,13524922556,C级,201904163247781,24
上海江戈职业技能培训有限公司,松江,上海市松江区新桥镇九新公路2888号4幢4层A区,37703878,C级,201905063313501,1
上海闵行区安通职业技术培训学校,闵行,上海市闵行区万源路2728号3楼,13167117836,,201905093331331,3
上海中泰职业技能培训有限公司,普陀,普陀区中江路879弄3号楼102室,13301778565,C级,201905223387111,1
上海浦东新区涵瑄职业技能培训学校,浦东,上海市浦东新区龙阳路1990号505,13764627600,C级,201905233390321,3
上海易宸职业技能培训有限公司,普陀,上海市普陀区梅川路1247号4幢208室,13524799917,B级,201906053404001,11
嘉言懿行（上海）职业技能培训有限公司,浦东,上海市浦东新区金吉路778号浦发江程广场1幢212室,18621925728,,201906123441651,3
上海晟泽培训中心有限公司,嘉定,上海市嘉定区南翔镇古猗园路737号5幢2层,17701792209,B级,201906193475501,3
上海海尚创职业技能培训有限公司,闵行,闵行区虹井路280弄1号楼3层07A单元,13122036763,C级,201907053513621,3
上海茂美职业技能培训有限公司,虹口,上海市虹口区四川北路1688号南楼2601室,18101731468,,201907223581631,6
上海嘉赋育培训学校有限公司,虹口,曲阳路930号4栋208室,18345454300,,201908193658771,3
上海浦星培训学校有限公司,浦东,上海市浦东新区花山路706号808、810、812室,15601905567,C级,201908303689281,23
上海静安济家职业技能培训学校,静安,上海市静安区共和新路2623号A幢7层702室,15900702919,B级,201909053695601,6
上海奉贤区奉信培训学校,奉贤,奉贤区环城东路644-646号1楼，648弄（8号、10号、12号、14号）1楼,18901990888,C级,201909123730951,17
上海浦东新区瑞博职业技能培训学校,浦东,上海市浦东新区拱乐路766号1至3层,13651983879,,201910103814731,15
上海远见职业技能培训有限公司,静安,静安区老沪太路197弄6-7号地下1，1层；8号1-2层,18019467879,C级,201910103817641,5
上海石天职业技能培训有限公司,黄浦,上海市黄浦区北京东路666号F幢8I室,13917804952,C级,201911053883801,4
上海艾益生职业技能培训有限公司,松江,上海市松江区鼎源路618弄1号8幢,02167675379,,201911063891141,1
上海澳美嘉职业技能培训有限公司,浦东,上海市浦东新区金藏路258号4号楼501D区,13817679388,,201911083904241,3
上海绿翼职业技能培训有限责任公司,长宁,上海市长宁区水城路68号601室,64321153,A级,201911123913401,2
上海携程职业技能培训有限公司,长宁,上海市长宁区金钟路968号16栋2F11，2F12,13693007438,C级,201911203949111,1
上海易优培职业技能培训有限公司,杨浦,上海市杨浦区平凉路2241号26幢401室-404室,13482520824,B级,201911283972811,18
上海浦东新区津弘职业技能培训学校,浦东,上海市浦东新区浦三路3058号1楼152、156、158室,13916555523,C级,202001064079691,2
上海青浦大树职业培训学校,青浦,上海市青浦区久康路241、245、249、253号,15900460100,A级,202001084098561,12
上海亚诚培训学校有限公司,嘉定,上海市嘉定区云谷路499号T3大厦902室,18616658155,B级,202001194135361,23
上海崇康职业技能培训有限公司,长宁,上海市长宁区定西路988号502、503室,15800505231,,202001224142991,10
上海云集培训学校有限公司,松江,上海市松江区嘉松南路288号2186-2190、2202、2203、2211室,13761680057,C级,202003164219801,20
上海圣达教育培训有限公司,浦东,上海市浦东新区拱极东路3136弄9号（一、二层）,13701659655,,202003184232251,3
上海高展教育培训有限公司,青浦,"青浦区高泾路599号D座D1、D2,B座401、402室",18017222447,C级,202003184233071,1
上海科才职业技能培训有限公司,杨浦,上海市杨浦区国定路335号2号楼609、610室,02155666717,C级,202004074283241,11
上海万通职业技能培训有限公司,浦东,上海市浦东新区书院镇丽正路1517号,15802134691,,202004104308711,3
上海梓程职业技能培训有限公司,浦东,上海市浦东新区云端路1565弄15号104室,13621686621,C级,202005064400341,4
上海同人职业技能培训有限公司,浦东,上海市浦东新区东方路1988号305C、305D室,53393662,B级,202005104421561,32
上海彼岸之途职业技能培训有限公司,青浦,上海青浦区新凤北路565号,13671543383,A级,202005144443611,14
上海海迩浦职业技能培训有限公司,浦东,上海浦东新区海基六路70弄1号楼405室,13671753613,C级,202006094552201,3
上海立得职业技能培训有限公司,黄浦,上海市黄浦区人民路998号305、308-1室,13916556559,B级,202006164581821,28
上海易芸职业技能培训有限公司,浦东,上海市浦东新区华夏东路1155号6幢,15900985537,,202006184596051,4
上海黄浦区尧学教育进修学院,黄浦,延安东路205号308、310、320室,13916018045,,202006184596741,10
上海新程职业技能培训有限公司,宝山,上海市宝山区长江南路180号长江软件园c区4楼419、421室,13812661022,,202007104646161,2
上海华裕职业技能培训有限公司,普陀,普陀区曹杨路1040弄2号13层南部01-02室,13761967611,A级,202007134662271,19
上海翠园职业技能培训有限公司,浦东,上海浦东新区川沙路5111号南楼2-21、22幢,18121111228,B级,202007154687091,5
上海小鲜职业技能培训有限责任公司,浦东,上海市浦东新区乐林路133号1幢102室,18930705978,A级,202007174705301,18
上海懿馨懿颐培训中心有限公司,浦东,上海市浦东新区川沙路718号7幢一层105室,13167262288,,202007234739431,2
上海同舟职业技能培训有限公司,嘉定,上海市嘉定区曹安公路1855号809、810室,13472791222,B级,202008064779411,48
上海鑫科瑞教育培训有限公司,浦东,上海市浦东新区北门大街168号2层,13002190299,C级,202008124826771,3
上海蓝若职业技能培训有限责任公司,浦东,上海市浦东新区申江南路6288号中侧楼三楼317-322室,17765172729,,202008174847771,3
上海震旦教育培训有限公司,黄浦,上海市黄浦区复兴中路369号18楼1801室8-14号,18021029010,,202008254899161,21
上海美丽之约职业技能培训有限公司,浦东,上海浦东东方路877号嘉兴大厦5楼509、510-513,13916924687,C级,202009074935251,8
上海佑安职业技能培训有限公司,虹口,上海市虹口区汶水东路29号榕辉大厦2层202室,19921619950,,202009074938421,1
上海馨月汇健康护理职业技术培训学校,宝山,上海市宝山区沪顾路1号,13381630827,C级,202009144996671,4
上海长护宝职业技能培训有限公司,崇明,上海市崇明区堡镇大通路432、434号二层东区,13681881404,B级,202010105233861,3
上海力合新职业技能培训有限公司,浦东,上海市浦东新区桃林路18号环球广场A座601、602、610室,13162197000,C级,202010105234521,3
上海智链职业技能培训有限责任公司,浦东,浦东新区康桥东路111号42幢401室,13052053970,C级,202010105248311,18
上海青浦区青流职业技能培训学校,青浦,青浦区香花桥街道盈港东路6433号1幢A_区113.114.115室,13818961934,B级,202010135282441,32
上海育佳培训学校有限公司,浦东,上海市浦东新区金湘路225弄11号801、803、805、835-838室,13501686048,C级,202011125729621,2
上海乐逢职业技能培训有限公司,黄浦,上海市黄浦区保屯路399号一楼A室,18616807448,B级,202011165779241,3
上海安星职业技能培训有限公司,浦东,上海市浦东新区惠南镇广北路25、27号,15021952762,C级,202011175817941,1
上海陆家嘴职业技能培训有限公司,浦东,上海市浦东新区杨高南路729号201室,13524608633,C级,202011185840191,1
上海建四职业技能培训中心,静安,上海市静安区灵石路697-3号3号楼610室,18101848772,B级,202011185848211,11
上海华盾职业技能培训有限公司,浦东,上海市浦东新区东方路877号嘉兴大厦裙楼3F,13482503639,,202011195886151,9
上海浦东临创职业技术培训学校,浦东,上海市浦东新区秋山路1775弄1号楼1001、1002室,180 1731 3682,C级,202012096179281,2
上海匠星职业技能培训有限公司,浦东,浦东新区惠南镇广北路29号1-2层、31号1-2层、33号1-2层,15601601953,C级,202012106189261,1
清大东方职业技能培训学校集团有限公司,普陀,上海市普陀区交通路4637号102、201室,13671506152,B级,202012116218541,1
上海市嘉定嘉禾职业技能培训中心,嘉定,上海市嘉定区金沙路75号906、908、910室,13701961628,C级,202012116221691,19
上海佳协职业技能培训有限公司,嘉定,上海市嘉定区嘉定镇博乐路70号14幢301-01-1室,13651770817,C级,202012146235281,9
中航协（上海）培训中心有限公司,长宁,上海市长宁区金钟路999号1幢210室,021-52196365,C级,202012176272551,1
上海跃迁培训学校有限公司,普陀,中山北路2790号901-902室,17701712873,B级,202012236317521,12
上海侨辉职业技术学院有限公司,嘉定,上海市嘉定区蕴北路1798号15号楼2层,18019382132,C级,202101076379601,2
上海科洛职业技能培训有限公司,浦东,上海市浦东新区秀浦路3188弄30号4层401室,13916000938,C级,202101126423591,6
上海首顺教育培训有限公司,浦东,上海市浦东新区环科路515号1510B、1511室,18217739191,,202101156460711,1
上海重贤职业技能培训有限公司,浦东,浦东新区航头镇航头路158弄12幢4层446室,13917303467,C级,202101226538351,6
上海畅达职业技能培训有限公司,浦东,上海市浦东新区浦建路145号强生大厦802室,18121218233,C级,202101226546641,2
上海交文培训学校有限公司,浦东,上海市浦东新区飞渡路55号6幢6-2-11,18117414463,C级,202102076617391,6
上海松江九峰职业技能培训中心,松江,上海市松江区洞泾镇振业路 1 号 8 幢 1 楼、301 室,13817866150,C级,202102096640481,2
金鞍职业技能培训（上海）有限公司,普陀,上海市普陀区中江路879弄16号楼401室,13901704243,,202102226693071,2
上海尊护职业技能培训有限公司,虹口,虹口区水电路1388号904-905室,13818922848,A级,202102246712461,17
上海浦东齐力职业技能培训学校,浦东,上海市浦东新区j金海路2011号D区205、210室,13817789829,C级,202103056769561,2
上海方得职业技能培训有限公司,宝山,上海市宝山区沪太路2751号1幢A15室,17521690622,C级,202103096804381,21
上海明天培训学校有限公司,浦东,上海市浦东新区成山路578号4幢4楼417/419/421室,13901931638,C级,202103247149081,2
上海艾基埃宝石职业技能培训有限公司,黄浦,上海市黄浦区中山东二路600号2幢12层03单元,02138760730,B级,202104087322921,3
上海荣冶培训学校有限公司,宝山,上海市宝山区同济支路199号6号楼401室,13641770496,B级,202104087329061,22
上海拍一拍职业技能培训有限公司,浦东,上海市浦东新区成山路800号1502室、1304室,18621968325,B级,202104087329961,7
上海传智播客职业技能培训有限公司,浦东,航都路18号2幢2层1-36、49-94、141、143、145、147室,13105589792,C级,202105217956541,4
上海志强职业技能培训有限公司,宝山,上海市宝山区淞兴路157号-165号5楼东区506室,13482810985,,202106078118111,4
上海远博职业技能培训有限公司,普陀,上海市普陀区同普路1130弄15号4楼402、403室,17602120334,C级,202106218290621,1
上海建谐职业技能培训有限公司,长宁,上海市长宁区武夷路150号1号楼2楼、9楼,62524848,A级,202107058735201,4
上海澜之港职业技能培训有限公司,浦东,上海市浦东新区富特北路399号1幢4G、4H、4I室,13646226587,,202107138989251,2
上海青浦区三省教育进修学院,青浦,上海市青浦区朱家角镇康业路888弄35-1号、35-2号,17749792310,,202108100533361,3
上海智杰职业技能培训有限公司,普陀,普陀区宜君路59号4楼,18116006852,,202108100534181,5
上海市普陀区华奕职业技能培训中心,普陀,普陀区定边路629号A幢403、405室,021-52657265,B级,202108170990151,24
摩珐汇职业技能培训（上海）有限公司,杨浦,上海市杨浦区翔殷路999号21幢三层310室,15821711597,,202108251191781,4
上海贝悦职业技能培训有限公司,浦东,上海市浦东新区奥纳路188号506室,13918236197,,202108251193151,2
上海聚儒培训中心有限公司,浦东,上海市浦东新区张杨路158、188、228号裙房3层310、312室全部,021-68881827,C级,202109221443341,4
上海同有三和圣洁职业技能培训有限公司,浦东,金海路1000号金领之都27幢2楼B1、B2区,15026953556,,202109231454231,1
融恒（上海）职业技能培训有限公司,闵行,上海市闵行区浦江镇昌达路27号1号楼2层202室,13918613115，34635553,B级,202109231467861,3
上海心梨职业技能培训有限公司,宝山,上海市宝山区杨行镇友谊路1538弄20号1层,18362775409,,202110191636461,2
上海静园职业技能培训有限公司,长宁,上海市长宁区中山西路520号1号楼4层15010室,13917700687,A级,202110211666261,6
上海仟盛职业技能培训有限公司,杨浦,上海市杨浦区内江路191号111幢114-115室,18602175233,B级,202111091783851,3
上海新知博专修学院有限公司,黄浦,黄浦区北海路8号18楼,13801982058,,202111091784621,6
上海青松未来职业技能培训有限责任公司,浦东,上海市浦东新区莲溪路1151号绿科路271号1幢A座A506-509室,18017087176,,202111241878341,2
上海福慧职业技能培训有限公司,闵行,闵行区江川路344号一层B区,13585736563,B级,202112061922201,11
上海普陀区西部365职业培训中心,普陀,上海市普陀区中山北路1258号3楼301室,021-52901028-408,B级,202112081936501,4
上海宝山中交敬逸培训学校,宝山,"宝山区月富路318 号西二楼4233,4235,4237,4251,4253室",15821291893,C级,202112151970851,2
上海臣合职业培训中心,静安,上海市静安区广中西路666号B07-09室,15900668628,C级,202201122093271,6
上海和养职业技能培训中心,静安,上海市静安区广中西路1149号三楼303--308、四楼,18001762361,B级,202203082363031,8
上海伊甸元职业技能培训有限公司,浦东,上海市浦东新区沪南公路3655弄34-38号2层,13917550392,A级,202203252626401,23
上海松江区明师慧职业技能培训学校,松江,上海松江区茸梅路288弄3号205-206室,18501652065,B级,202206172837151,15
上海才优培训中心有限公司,浦东,中国（上海）自由贸易试验区港澳路239号1幢1层105-109室,13818549991,C级,202207132979331,2
益海嘉里（上海）职业技能培训有限公司,浦东,中国（上海）自由贸易试验区博成路1379号B1层109、111室,15221733753,B级,202207142986421,2
上海琅笃职业技能培训有限公司,崇明,上海市崇明区横沙乡丰乐路48号,13661960955,C级,202208083130311,2
上海威兹德职业技能培训有限公司,浦东,上海市浦东新区海基六路218弄5号5层,20979098,B级,202208193228411,10
天都职业技能培训（上海）有限公司,闵行,闵行区七莘路1839号2517-2520南室,51087995-6666，13564049809,B级,202208233249101,36
麦特维思（上海）职业技能培训有限公司,浦东,中国（上海）自由贸易试验区商城路1900号1207室,13817693905,,202208293277951,3
上海懿青和职业技能培训有限公司,浦东,川周路8362号402/T01-T08,18221234495,C级,202208293279101,8
上海勇鸿护佳职业技能培训有限公司,杨浦,上海市杨浦区临青路430号18幢楼3楼320室,16628592520,B级,202209083318711,9
中装汇萃职业技能培训（上海）有限公司,普陀,普陀区澳门路351号7层703,13701820506,,202209153355451,2
上海海阳职业技能培训有限公司,杨浦,上海市杨浦区长阳路668号N楼2层202室、203室,02165390000,B级,202210173475361,6
上海数商汇职业技能培训有限公司,浦东,上海市浦东新区航都路18号2号楼1层1113-1137室,18721577396,,202210203498611,2
上海众坛职业技能培训有限公司,浦东,上海市浦东新区东明路1800弄3号地下1层35、36、37、38室,13402078637,B级,202210263536421,26
上海机施职业技能培训有限公司,静安,上海市静安区洛川中路701号8号楼一楼,18116457475,B级,202211243657191,7
上海百善福祉职业技能培训有限公司,浦东,上海市浦东新区春晓路122弄34号7幢1F105-108、3F307-308,15800568766,C级,202211283670161,1
上海国耀职业技能培训有限公司,闵行,上海市闵行区莘建东路58弄2号809、810、811室,18916220138,,202212133721181,2
中智职业技能培训（上海）有限公司,浦东,上海市浦东新区秋山路1775弄27号601室,18521534488,,202212153734091,1
上海长宁区住建安职业技能培训中心,长宁,上海市长宁区水城路68号613-630室,62258570,B级,202212153737831,6
上海力殿职业技能培训有限公司,松江,上海市松江工业区俞塘路512号A幢一层101室,13916029182,,202301033776461,2
上海浦东星光职业技能培训学校,浦东,上海市浦东新区川沙路1058号1幢1-2楼,13816329799,C级,202301053783311,2
上海侨闻职业技术学院有限公司,嘉定,上海市嘉定区鹤旋路26弄29号806、807室,13641725751,,202301173837511,6
上海浦东新区博强职业技能培训中心,浦东,上海市浦东新区恒大路62号4幢2楼（灵岩南路295号）,13801713169,C级,202302033861751,4
上海玄风职业技能培训有限公司,松江,上海市松江区佘山镇佘北路180号9幢102室、103室,021-37690093,,202302133904101,3
上海仰序职业技能培训有限公司,浦东,上海市浦东新区康普路51弄43号4层408室,18019302383,,202302273993151,5
罗布长风职业技能培训（上海）有限公司,浦东,中国（上海）自由贸易试验区临港新片区业盛路188号A405、A408室,13818760202,,202303034013381,2
上海蓝焰职业技能培训有限公司,松江,上海市松江区环城路419弄6号4楼,15301835119,,202303084040431,4
上海至业职业技能培训有限公司,普陀,上海市普陀区宜川路299-311（单）号305号3楼301室,13918236197,C级,202303104054661,2
上海杨浦区全洲进修学院,杨浦,上海市杨浦区凤城路101号7幢3楼,15800769846,,202303244131141,4
上海尚古新职业技能培训有限公司,浦东,上海市浦东新区老芦公路1055号1号楼3层301室,13816267100,,202304174626181,1
上海闵青才职业技能培训有限公司,闵行,上海市闵行区颛兴东路1559号101-2F,18121157184,,202304174630481,15
上海学掌门职业技能培训有限公司,黄浦,上海市黄浦区北京东路668号B区B807室,15821839935,,202304174631791,9
上海智数职业技能培训有限公司,浦东,上海市浦东新区秋山路1775弄27号1003、1004室,13916505194,,202304184647381,3
上海学之荟职业技能培训有限公司,浦东,浦东新区拱极路2626弄38号5楼501-510室、515-518室,13918408250,,202305164832391,11
上海青沄职业技能培训有限公司,青浦,上海市青浦区清河湾路981弄17号,18918082622,,202305184852591,10
上海库锞职业技能培训有限公司,嘉定,上海市嘉定区真新街道曹安公路1901号2层A区C270室、3层A区3004室,15901686931,,202305254909661,11
上海闵行区敦敏职业技能培训学校,闵行,上海市闵行区繁兴路99号8号楼501室,18844994175,,202306054939531,8
上海抚理职业技能培训有限公司,杨浦,上海市杨浦区逸仙路205号1115、1116室,18018823153,,202306074957431,7
上海浦东新区海炎职业技能培训学校,浦东,上海浦东新区川沙新镇川沙路6999号28幢1层14-19，26-31、42、43,18616207919,,202307195159771,1
上海同培职业技能培训有限公司,杨浦,上海市杨浦区中山北二路1121号16楼1609室,13764046989,,202307205176371,8
上海赛源培训学校有限公司,宝山,上海市宝山区真陈路1018号9幢3楼D区,65428830,,202308035237531,2
上海蕴育时光职业技能培训有限公司,普陀,上海市普陀区同普路1130弄11号2楼2003-2007室,18621360789,,202308175320591,7
上海爱美佳职业技能培训有限公司,普陀,上海市普陀区真北路2653号6幢1层107室,13916384539,,202308215336111,7
上海雅享职业技能培训有限公司,浦东,上海市浦东新区五星路677弄8号2楼,13918755484,,202309075407041,2
上海丹捷赛孚培训学校有限公司,浦东,浦东新区川南奉公路5609弄3号2幢2层204-205室,13818025621,,202309135438021,1
上海徒手之恒职业技能培训有限公司,嘉定,上海市嘉定区嘉罗公路336号1306、1308、1309室,18717820243,,202310215589341,3
上海宏益职业技能培训有限公司,静安,上海市静安区沪太路701号1幢3层07/08/09室,13611736687,,202311085659931,13
上海半鱼职业技能培训有限公司,嘉定,上海市嘉定区南翔镇丰翔路3168弄太茂商业广场3楼306A室,13248001169,,202311225732421,15
上海甯麦秀培训学校有限公司,奉贤,上海市奉贤区航南公路6666号A幢A208、A608,13310082698,,202311235737291,10
上海中服未来职业技术学院有限公司,闵行,上海市闵行区盘阳路59弄12号802室,15601982568,,202311235740551,13
上海互软职业技能培训有限公司,浦东,中国（上海）自由贸易试验区新金桥路18号24层2414、2415、2416室,13816781768,,202312255881281,10
上海顶正职业技能培训有限公司,宝山,上海市宝山区沪太路6369号6号楼101室,13311994491,,202401085918901,4
上海瑞毅职业技能培训有限公司,奉贤,上海市奉贤区奉炮公路1368号3 幢 5 层 5-513 室,19901798254,,202401316045661,6
上海鹏越惊虹职业技能培训有限公司,浦东,上海市浦东新区张衡路200号3幢3606室,13764013056,,202402016046501,4
上海柴火灶职业技能培训有限公司,青浦,上海市青浦区赵巷镇佳杰路99弄1号1003室,18930663883,,202403046130061,10
沃土聚才（上海）职业技能培训有限公司,浦东,上海市浦东新区金皖路389号313、314、315室,15905189857,,202405066416891,1
上海尚品培训学校有限公司,奉贤,上海市奉贤区程普路377号4号楼A区7层007、008室,13564560067,,202405086429641,6
上海华创园职业技能培训有限公司,虹口,上海市虹口区广中路88号5楼502、506、508、510,18616834412,,202405236539671,4
上海创联职业技能培训学校,静安,上海市静安区天目中路267号11B-1,13466691615,,202406056591901,5
上海市闵行区翔申业余学校,闵行,上海市闵行虹梅路263号裙房四楼,13564132122,,202406246726131,8
上海茸昇职业技能培训有限公司,松江,谷阳北路1425弄88号704,13651836071,,202406256734251,9
上海沪普东培训学校有限公司,浦东,上海市浦东新区陶桥路138号2幢303、304、305、306、307、308室,13817292685,,202407016750731,13
上海瑞泉秋歌职业技能培训有限公司,普陀,普陀区真南路1226弄5号402A室；培训点：3号401A室401B室401C室,13311687858,,202407026755841,18
上海毛戈平职业技能培训有限公司,长宁,上海市长宁区通协路269号商场1层111、112、113室,52068098,,202407086776271,1
上海珀妍职业技能培训有限公司,松江,上海市松江区梅家浜路800弄35号408、409室,15618883778,,202407266894071,12
上海爱尔沃职业技能培训有限公司,虹口,上海市虹口区中山北一路121号B2幢1楼1001-1002、1021-1022室,15021656165,,202409047048801,11
上海福启康职业技能培训有限公司,黄浦,上海市黄浦区普育西路105号9号楼1层、4号楼503室,13162197000,,202409107079771,9
智学博（上海）职业技能培训有限公司,普陀,上海市普陀区中山北路 2790 号 1407 室、1408 室,15000222150,,202410297283661,1
上海大鸾职业技能培训有限公司,松江,上海市松江区广富林路599弄1号1104-1105,13564169691,,202410317288381,2
上海欧米奇职业技能培训有限公司,奉贤,上海市奉贤区程普路377号4号楼AB 区4层,18516231626,,202411067304771,4
上海新鹊群职业技能培训有限公司,青浦,上海市青浦区青昆路588号2幢二层、三层、四层,59800661,,202411127332451,1
上海瑞而思职业技能培训有限公司,闵行,闵行区顾戴路2582号2幢（北楼）6层601-606室,13761468398,,202411297413501,6
上海室铭职业技能培训有限公司,徐汇,上海市徐汇区沪闵路9001-3号地下一层01北1-A3,13917170331,,202412237507761,15
上海安优护职业技能培训有限公司,静安,静安区南山路99号5幢305、306、307室,15800398071,,202501137589931,4
上海礼月博学职业技能培训有限公司,徐汇,上海市徐汇区漕宝路78号3层321室甲-B室,13761112968,,202501227661281,7
上海智领云职业技能培训有限公司,松江,上海市松江区泗泾镇九干路168号20幢2号楼310-311室,13917767198,,202502127707761,2
上海赋畀职业技能培训有限公司,长宁,万航渡路2452号B102室,15821256750,,202502137714901,7
上海宝领培训学校有限公司,宝山,上海市宝山区宝安公路857号1幢4楼401室,18616276206,,202504027956161,4
上海汇达康培训学校有限公司,虹口,上海市虹口区万安路319号508A、508B、508C、507A、507B,13636330993,,202504077965521,13
上海一点灵光职业技能培训有限公司,嘉定,上海市嘉定区塔秀路26号901室,17717419616,,202506088263441,2
上海一尺得渔职业技能培训有限公司,奉贤,上海市奉贤区奉城镇洪运路398号 1幢201、202、204、 305、306室,18101862805,,202506138296501,4
上海欣旋培训中心有限公司,徐汇,上海市徐汇区零陵路899号19层A室,18017863070,,202507018394041,13
上海徐汇新南洋职业技术学院有限公司,徐汇,上海市番禺路878号3层,13916276999,,202507108436051,8
新纶和业职业技能培训（上海）有限公司,松江,松江区新宅路658号1幢108室、3幢206、207、208、209室,13816986634,,202507248532961,3
上海外服职业技能培训有限公司,杨浦,上海市杨浦区国定东路200号1号楼20层2001、2002、2003室,15221175877,,202507318554261,30
上海之乐培训学校有限公司,宝山,上海市宝山区泰和路2008号2栋8区165室,18521116333,,202508108588561,4
上海积涵职业技能培训有限公司,嘉定,嘉定区永新路755号一层,18016091179,,202509048717151,2
上海升锦腾职业技能培训有限公司,松江,上海市松江区富永路425弄5号楼2楼202室、204室、205室,57713939,,202509098740591,4
上海垦耐职业技能培训有限公司,松江,上海市松江区九亭镇蒲汇路178弄1号1-313，1-314，1-315,18039978179,,202509118761381,1
芸耀瀚海职业技能培训（上海）有限公司,长宁,上海市长宁区水城路68号3楼328室,13817384888,,202509168789481,7
上海费思职业技能培训有限公司,长宁,上海市长宁区新华路365弄6号9号楼203室,13761923968,,202510108900911,4
上海恒远职业技能培训有限公司,奉贤,上海市奉贤区奉浦大道99号110室,15201939163,,202510118905701,16
上海厚朴中医学堂培训学校,嘉定,上海市嘉定区鹤旋东路188弄7号601室,17812049284,,202510118906561,2
上海市普陀传技未来职业技能培训学校,普陀,普陀区真南路1266弄9号楼201室,18918691632,,202510158930181,5
上海浦东新区青云职业技能培训学校,浦东,上海市浦东新区康浦路51弄43号902室,13761337789,,202511129088231,5
海凯威（上海）培训中心有限公司,浦东,上海市浦东新区川宏路508号1幢一层102-1室,13916106490,,202511219153281,3
上海博成职业技能培训有限公司,浦东,上海市浦东新区金桥路939号411-414室,18918279908,,202512049207191,6
上海旭知职业技能培训有限公司,杨浦,上海市杨浦区黄兴路2077号1401室,13917768510,,202512059211561,3
上海家点爱职业技能培训有限公司,闵行,上海闵行区沪星路289弄7号105、301、302、303室,15618165805,,202512169273991,3
上海誉藤职业技能培训有限公司,徐汇,上海市徐汇区华山路2000号6夹层709室,13472823510,,202601089611241,5
上海砺知职业技能培训有限公司,黄浦,上海市黄浦区斜土路768号103-1室,13262245929,,202601299750501,5
林清轩（上海）职业技能培训有限公司,松江,上海市松江区新桥镇新庙三路1177号1幢2层A区216室、218室、219室,1560-1717-565,,202603269999431,3
上海复医博育职业技能培训有限公司,徐汇,肇嘉浜路361号乙1层103室、105室、107室、108室、109室等,18521062303,,202604130070531,2
